Unique Key,Created Date,Closed Date,Agency Name,Complaint Type,Location Type,Incident Zip,Street Name,City,Status,Borough
21616839,10-10-2011 0:00,10/14/2011 12:00 AM,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10033,WADSWORTH AVENUE,NEW YORK,Closed,MANHATTAN
21616840,10-10-2011 0:00,10/14/2011 12:00 AM,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10033,WADSWORTH AVENUE,NEW YORK,Closed,MANHATTAN
21616849,10-10-2011 0:00,10/16/2011 12:00 AM,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10031,WEST 145 STREET,NEW YORK,Closed,MANHATTAN
21616801,10-10-2011 0:00,10/14/2011 12:00 AM,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10033,WADSWORTH AVENUE,NEW YORK,Closed,MANHATTAN
21616679,10-10-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Condition,Street,10024,WEST 83 STREET,NEW YORK,Closed,MANHATTAN
21616656,10-11-2011 0:00,10-11-2011 0:00,New York City Police Department,Noise - Vehicle,Street/Sidewalk,10026,ST NICHOLAS AVENUE,NEW YORK,Closed,MANHATTAN
21616672,10-10-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Condition,,10075,PARK AVENUE,NEW YORK,Closed,MANHATTAN
21616281,10-10-2011 0:00,10/14/2011 12:00 AM,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10033,WADSWORTH AVENUE,NEW YORK,Closed,MANHATTAN
21616220,10-10-2011 0:00,10/14/2011 12:00 AM,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10028,EAST 84 STREET,NEW YORK,Closed,MANHATTAN
21616035,10-10-2011 0:00,10-10-2011 0:00,Department of Transportation,Broken Muni Meter,Street,10023,COLUMBUS AVENUE,NEW YORK,Closed,MANHATTAN
21610429,10-08-2011 0:00,10-08-2011 0:00,New York City Police Department,Noise - Commercial,Store/Commercial,10029,EAST 115 STREET,NEW YORK,Closed,MANHATTAN
21610457,10-08-2011 0:00,10-08-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10128,EAST 91 STREET,NEW YORK,Closed,MANHATTAN
21616047,10-10-2011 0:00,10-10-2011 0:00,New York City Police Department,Vending,Street/Sidewalk,10012,BROADWAY,NEW YORK,Closed,MANHATTAN
21616055,10-10-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Condition,Street,10016,EAST 36 STREET,NEW YORK,Closed,MANHATTAN
21616061,10-10-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Condition,Street,10011,WEST 23 STREET,NEW YORK,Closed,MANHATTAN
21616067,10-10-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Condition,Street,10016,EAST 36 STREET,NEW YORK,Closed,MANHATTAN
21616088,10-10-2011 0:00,10-10-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10018,WEST 39 STREET,NEW YORK,Closed,MANHATTAN
21616316,10-10-2011 0:00,10-12-2011 0:00,A - Manhattan,Dirty Conditions,Sidewalk,10034,BROADWAY,NEW YORK,Closed,MANHATTAN
21616326,10-10-2011 0:00,10/13/2011 12:00 AM,Manhattan 04,Sanitation Condition,Street,10019,WEST 52 STREET,NEW YORK,Closed,MANHATTAN
21616130,10-10-2011 0:00,10-10-2011 0:00,New York City Police Department,Illegal Parking,Street/Sidewalk,10019,WEST 58 STREET,NEW YORK,Closed,MANHATTAN
21616138,10-10-2011 0:00,10-10-2011 0:00,3-1-1 Call Center,Noise Survey,Street/Sidewalk,10007,BARCLAY STREET,NEW YORK,Closed,MANHATTAN
21615546,10-10-2011 0:00,10-10-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10019,SEVENTH AVENUE,NEW YORK,Closed,MANHATTAN
21615556,10-11-2011 0:00,10-11-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10026,FREDRICK DOUGLAS BOULEVARD,NEW YORK,Closed,MANHATTAN
21615565,10-10-2011 0:00,10-11-2011 0:00,Department of Transportation,Street Condition,Street,10013,GREENWICH STREET,NEW YORK,Closed,MANHATTAN
21606966,10-08-2011 0:00,10/14/2011 12:00 AM,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10029,LEXINGTON AVENUE,NEW YORK,Closed,MANHATTAN
21607869,10-08-2011 0:00,10-08-2011 0:00,New York City Police Department,Drinking,Residential Building/House,10013,MOTT STREET,NEW YORK,Closed,MANHATTAN
21607655,10-08-2011 0:00,10-11-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10033,WEST 184 STREET,NEW YORK,Closed,MANHATTAN
21607878,10-08-2011 0:00,10-08-2011 0:00,New York City Police Department,Vending,Street/Sidewalk,10019,CENTRAL PARK SOUTH,NEW YORK,Closed,MANHATTAN
21607665,10-08-2011 0:00,10-11-2011 0:00,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10030,WEST 133 STREET,NEW YORK,Closed,MANHATTAN
21607668,10-08-2011 0:00,10-11-2011 0:00,Department of Housing Preservation and Development,HEATING,RESIDENTIAL BUILDING,10034,WEST 204 STREET,NEW YORK,Closed,MANHATTAN
21608897,10-08-2011 0:00,10-08-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10002,RIVINGTON STREET,NEW YORK,Closed,MANHATTAN
21608906,10-08-2011 0:00,10-08-2011 0:00,3-1-1 Call Center,Noise Survey,Street/Sidewalk,10013,WALKER STREET,NEW YORK,Closed,MANHATTAN
21608910,10-09-2011 0:00,10-09-2011 0:00,3-1-1 Call Center,Noise Survey,Home,10040,THAYER STREET,NEW YORK,Closed,MANHATTAN
21608911,10-09-2011 0:00,10-09-2011 0:00,3-1-1 Call Center,Noise Survey,Bar/Restaurant,10021,EAST 70 STREET,NEW YORK,Closed,MANHATTAN
21608634,10-08-2011 0:00,10-08-2011 0:00,Department of Environmental Protection,Water System,,10011,WEST 17 STREET,NEW YORK,Closed,MANHATTAN
21608109,10-08-2011 0:00,10-08-2011 0:00,Department of Environmental Protection,Sewer,,10013,LEONARD STREET,NEW YORK,Closed,MANHATTAN
21609866,10-08-2011 0:00,10-08-2011 0:00,New York City Police Department,Noise - Vehicle,Street/Sidewalk,10034,ACADEMY STREET,NEW YORK,Closed,MANHATTAN
21609879,10-09-2011 0:00,10-09-2011 0:00,New York City Police Department,Noise - Commercial,Club/Bar/Restaurant,10022,EAST 53 STREET,NEW YORK,Closed,MANHATTAN
